"autor","l0","l1","l2","gender"
"Chuan Cao","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Duan","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Han","Asian","GreaterEastAsian","EastAsian","F"
"Chuan He","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Huang","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Jie Liu","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Lei","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Li","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Long","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Luo","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Ma","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Pham","GreaterEuropean","British","\N","F"
"Chuan Sheng Foo","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Shi","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Sun","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Tang","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Wang","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Wu","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Xiao","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Yang","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Yi Tang","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Yue","Asian","GreaterEastAsian","EastAsian","F"
"Chuan Zhou","Asian","GreaterEastAsian","EastAsian","F"
"Chuanlin Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Chui Chui Tan","Asian","GreaterEastAsian","EastAsian","F"
"Chui Yin Wong","Asian","GreaterEastAsian","EastAsian","F"
"Chuleerat Jaruskulchai","GreaterAfrican","Muslim","\N","F"
"Chumki Basu","Asian","IndianSubContinent","\N","F"
"Chunchun Wu","Asian","GreaterEastAsian","EastAsian","F"
"Chunfang Zheng","Asian","GreaterEastAsian","EastAsian","F"
"Chunfang Zhou","Asian","GreaterEastAsian","EastAsian","F"
"Chunhong Pan","Asian","GreaterEastAsian","EastAsian","F"
"Chunhong Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Chunhua Ju","Asian","GreaterEastAsian","EastAsian","F"
"Chunhua Shen","Asian","GreaterEastAsian","EastAsian","F"
"Chunhua Su","Asian","GreaterEastAsian","EastAsian","F"
"Chunhua Tian","Asian","GreaterEastAsian","EastAsian","F"
"Chunju Tseng","Asian","GreaterEastAsian","EastAsian","F"
"Chunlan Huang","Asian","GreaterEastAsian","EastAsian","F"
"Chunlei Huo","Asian","GreaterEastAsian","EastAsian","F"
"Chunlei Liu","Asian","GreaterEastAsian","EastAsian","F"
"Chunlei Yang","Asian","GreaterEastAsian","EastAsian","F"
"Chunmei Han","Asian","GreaterEastAsian","EastAsian","F"
"Chunmei Liu","Asian","GreaterEastAsian","EastAsian","F"
"Chunmei Lu","Asian","GreaterEastAsian","EastAsian","F"
"Chunni Dai","Asian","IndianSubContinent","\N","F"
"Chunrong Fang","Asian","GreaterEastAsian","EastAsian","F"
"Chunyan Liu","Asian","GreaterEastAsian","EastAsian","F"
"Chunyan Miao","Asian","GreaterEastAsian","EastAsian","F"
"Chunyan Song","Asian","GreaterEastAsian","EastAsian","F"
"Chunyan Wang 0001","Asian","GreaterEastAsian","EastAsian","F"
"Chunyan Wang 0002","Asian","GreaterEastAsian","EastAsian","F"
"Chunyan Xie","Asian","GreaterEastAsian","EastAsian","F"
"Chunyan Xu","Asian","GreaterEastAsian","EastAsian","F"
"Chunyi Peng","Asian","GreaterEastAsian","EastAsian","F"
"Chunyi Shi","Asian","GreaterEastAsian","EastAsian","F"
"Chunying Zhou","Asian","GreaterEastAsian","EastAsian","F"
"Chunyue Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Chutiporn Anutariya","GreaterAfrican","Africans","\N","F"
"Chuyu Wang","Asian","GreaterEastAsian","EastAsian","F"
"Chuyuan Wei","Asian","GreaterEastAsian","EastAsian","F"
"Cid C. de Souza","Asian","IndianSubContinent","\N","F"
"Ciera Jaspan","GreaterEuropean","WestEuropean","Italian","F"
"Çigdem Aslay","GreaterAfrican","Muslim","\N","F"
"Çigdem Eroglu Erdem","GreaterAfrican","Muslim","\N","F"
"Çigdem Gencel","GreaterEuropean","WestEuropean","Italian","F"
"Cigdem Sengul","Asian","IndianSubContinent","\N","F"
"Cigdem Toprak","GreaterAfrican","Muslim","\N","F"
"Cijo Jose","GreaterEuropean","Jewish","\N","F"
"Cinda Heeren","GreaterEuropean","British","\N","F"
"Cindy Ayers","GreaterEuropean","British","\N","F"
"Cindy Chen","Asian","GreaterEastAsian","EastAsian","F"
"Cindy Eisner","GreaterEuropean","Jewish","\N","F"
"Cindy Faehnrich","Asian","GreaterEastAsian","EastAsian","F"
"Cindy Gallois","GreaterEuropean","WestEuropean","French","F"
"Cindy Grimm","GreaterEuropean","WestEuropean","Germanic","F"
"Cindy H. Lio","GreaterEuropean","WestEuropean","French","F"
"Cindy Hui","Asian","GreaterEastAsian","EastAsian","F"
"Cindy Kong","Asian","GreaterEastAsian","EastAsian","F"
"Cindy Lin Kaiying","Asian","GreaterEastAsian","EastAsian","F"
"Cindy Marling","GreaterEuropean","British","\N","F"
"Cindy Mayas","Asian","IndianSubContinent","\N","F"
"Cindy Michiels","GreaterEuropean","British","\N","F"
"Cindy P. Schriber","GreaterEuropean","Jewish","\N","F"
"Cindy Rubio-González","GreaterEuropean","Jewish","\N","F"
"Cindy Sawchuk","Asian","GreaterEastAsian","Japanese","F"
"Cindy Wong","Asian","GreaterEastAsian","EastAsian","F"
"Cindy X. Chen","Asian","GreaterEastAsian","EastAsian","F"
"Cindy Xide Lin","Asian","GreaterEastAsian","EastAsian","F"
"Cindy Xinmin Chen","Asian","GreaterEastAsian","EastAsian","F"
"Cinzia Cappiello","GreaterEuropean","WestEuropean","Italian","F"
"Clair Snodgrass","GreaterEuropean","British","\N","F"
"Claire A. Montgomery","GreaterEuropean","British","\N","F"
"Claire Bonial","GreaterEuropean","WestEuropean","French","F"
"Claire C. Ralph","GreaterEuropean","British","\N","F"
"Claire Capdevielle","GreaterEuropean","WestEuropean","French","F"
"Claire Cardie","GreaterEuropean","WestEuropean","French","F"
"Claire Carlson","GreaterEuropean","British","\N","F"
"Claire Cousins","GreaterEuropean","British","\N","F"
"Claire David","GreaterEuropean","Jewish","\N","F"
"Claire Dross","GreaterEuropean","WestEuropean","French","F"
"Claire Gardent","GreaterEuropean","WestEuropean","French","F"
"Claire Grover","GreaterEuropean","British","\N","F"
"Claire Guest","GreaterEuropean","British","\N","F"
"Claire Hardy","GreaterEuropean","British","\N","F"
"Claire Hart","GreaterEuropean","British","\N","F"
"Claire Ingram","GreaterEuropean","British","\N","F"
"Claire J. Tomlin","GreaterEuropean","British","\N","F"
"Claire Kenyon","GreaterEuropean","British","\N","F"
"Claire Kenyon-Mathieu","GreaterEuropean","British","\N","F"
"Claire Knight","GreaterEuropean","British","\N","F"
"Claire Le Goues","GreaterEuropean","WestEuropean","French","F"
"Claire Lefèvre","GreaterEuropean","WestEuropean","French","F"
"Claire Leschi","GreaterEuropean","WestEuropean","French","F"
"Claire Mathieu","GreaterEuropean","WestEuropean","French","F"
"Claire Matthews","GreaterEuropean","British","\N","F"
"Claire McAvinia","GreaterEuropean","WestEuropean","Italian","F"
"Claire Monteleoni","GreaterEuropean","WestEuropean","French","F"
"Claire Nelson","GreaterEuropean","British","\N","F"
"Claire O'Malley","GreaterEuropean","British","\N","F"
"Claire Opila","GreaterEuropean","Jewish","\N","F"
"Claire Pagetti","GreaterEuropean","WestEuropean","Italian","F"
"Claire R. Donoghue","GreaterEuropean","British","\N","F"
"Claire Saurel","GreaterEuropean","WestEuropean","French","F"
"Claire Vallat","GreaterEuropean","WestEuropean","French","F"
"Claire Warwick","GreaterEuropean","British","\N","F"
"Clara Bacciu","GreaterEuropean","WestEuropean","Italian","F"
"Clara Cahill","GreaterEuropean","British","\N","F"
"Clara Callenberg","GreaterEuropean","WestEuropean","Germanic","F"
"Clara Coutinho","GreaterEuropean","WestEuropean","Hispanic","F"
"Clara Crivellaro","GreaterEuropean","WestEuropean","Hispanic","F"
"Clara Mancini","GreaterEuropean","WestEuropean","Italian","F"
"Clara Pezuela","GreaterEuropean","WestEuropean","Hispanic","F"
"Clare Baecher-Allan","GreaterEuropean","British","\N","F"
"Clare Dixon","GreaterEuropean","British","\N","F"
"Clare Giardina","GreaterEuropean","WestEuropean","Italian","F"
"Clare Harries","GreaterEuropean","British","\N","F"
"Clare Hooper","GreaterEuropean","British","\N","F"
"Clare J. Hooper","GreaterEuropean","British","\N","F"
"Clare M. Tempany","GreaterEuropean","British","\N","F"
"Clare Paul","GreaterEuropean","WestEuropean","Italian","F"
"Clare R. Voss","GreaterEuropean","WestEuropean","Germanic","F"
"Clare Riley","GreaterEuropean","British","\N","F"
"Clare-Marie Karat","Asian","IndianSubContinent","\N","F"
"Clarissa Borba","GreaterEuropean","Jewish","\N","F"
"Clarissa Cassales Marquezan","GreaterEuropean","WestEuropean","Hispanic","F"
"Clarissa Ishak","Asian","GreaterEastAsian","Japanese","F"
"Clarissa Mak","Asian","GreaterEastAsian","EastAsian","F"
"Clarisse S. de Souza","Asian","IndianSubContinent","\N","F"
"Clarisse Sieckenius de Souza","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Andreini","GreaterEuropean","WestEuropean","Hispanic","F"
"Cláudia Antunes","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Bauzer Medeiros","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Bedini","GreaterEuropean","WestEuropean","Italian","F"
"Claudia C. Gutiérrez Rodriguez","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Campolo","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Canali","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Carapelle","GreaterEuropean","WestEuropean","Italian","F"
"Claudia D'Adamo","Asian","IndianSubContinent","\N","F"
"Claudia d'Amato","Asian","IndianSubContinent","\N","F"
"Claudia D'Ambrosio","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Di Napoli","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Diamantini","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Díaz","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Dieckmann","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Eckert","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Elena Chirita","Asian","IndianSubContinent","\N","F"
"Claudia Ermel","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Faggian","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Flores-Saviaga","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Fohry","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Gomes","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Grieco","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Hauff","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Henry","GreaterEuropean","WestEuropean","French","F"
"Claudia Hess","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Hindo","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Iacob","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Iturriaga","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Jacova","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Jiménez-Guarín","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Keser","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Kondermann","GreaterEuropean","Jewish","\N","F"
"Claudia Lainscsek","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Lehmann","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia León","GreaterEuropean","WestEuropean","Italian","F"
"Cláudia Linhares Sales","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Loitsch","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia López","GreaterEuropean","WestEuropean","Hispanic","F"
"Cláudia M. F. A. Ribeiro","GreaterEuropean","British","\N","F"
"Cláudia Maria Lima Werner","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Morrell","GreaterEuropean","British","\N","F"
"Claudia Müller 0002","GreaterEuropean","WestEuropean","Germanic","F"
"Cláudia Nalon","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Nass","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Niederée","GreaterEuropean","WestEuropean","Nordic","F"
"Claudia Niemeyer","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Nieuwenhuis","GreaterAfrican","Africans","\N","F"
"Claudia O. Fuhr","GreaterEuropean","British","\N","F"
"Claudia Orellana-Rodriguez","GreaterEuropean","WestEuropean","Italian","F"
"Claudia P. Ayala","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Pagliari","GreaterEuropean","WestEuropean","Italian","F"
"Cláudia Pascoal","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Pearce","GreaterEuropean","British","\N","F"
"Claudia Peersman","GreaterEuropean","Jewish","\N","F"
"Claudia Pérez-D'Arpino","GreaterAfrican","Muslim","\N","F"
"Claudia Perlich","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Peschiera","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Picardi","GreaterEuropean","WestEuropean","Italian","F"
"Cláudia Pinto","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Plant","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Pons","GreaterEuropean","WestEuropean","Hispanic","F"
"Claudia Raibulet","GreaterEuropean","WestEuropean","French","F"
"Claudia S. Frydman","GreaterEuropean","Jewish","\N","F"
"Claudia Schon","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Schremmer","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Schulz 0001","GreaterEuropean","WestEuropean","Germanic","F"
"Claudia Snels","GreaterEuropean","WestEuropean","Nordic","F"
"Claudia Söller-Eckert","GreaterEuropean","British","\N","F"
"Claudia Soria","GreaterEuropean","WestEuropean","Italian","F"
"Claudia Steinberger","GreaterEuropean","Jewish","\N","F"
"Claudia Susie C. Rodrigues","GreaterEuropean","British","\N","F"
"Claudia Szabo","GreaterEuropean","WestEuropean","French","F"
"Claudia Täubner","GreaterEuropean","Jewish","\N","F"
"Claudia V. Goldman","GreaterEuropean","Jewish","\N","F"
"Claudia V. S. Guerrero","Asian","IndianSubContinent","\N","F"
"Claudia Wagner","GreaterEuropean","WestEuropean","Germanic","F"
"Cláudia Werner","GreaterEuropean","Jewish","\N","F"
"Claudine Picaronny","GreaterEuropean","WestEuropean","French","F"
"Claudine Santos Badue","GreaterEuropean","WestEuropean","Hispanic","F"
"Clelia de Felice","GreaterEuropean","WestEuropean","Italian","F"
"Clémence Magnien","GreaterEuropean","WestEuropean","French","F"
"Clémentine Adam","GreaterAfrican","Muslim","\N","F"
"Clémentine Nebut","GreaterAfrican","Africans","\N","F"
"Clícia Pinto","GreaterEuropean","WestEuropean","Hispanic","F"
"Clotilde Rohleder","GreaterEuropean","WestEuropean","Germanic","F"
"Codruta Orniana Ancuti","GreaterEuropean","WestEuropean","Hispanic","F"
"Colette Hume","GreaterEuropean","British","\N","F"
"Colette Johnen","GreaterEuropean","Jewish","\N","F"
"Colette Rolland","GreaterEuropean","WestEuropean","French","F"
"Colleen Alkalay-Houlihan","GreaterAfrican","Africans","\N","F"
"Colleen Cool","GreaterEuropean","WestEuropean","French","F"
"Colleen Cunningham","GreaterEuropean","British","\N","F"
"Colleen Emmenegger","GreaterEuropean","British","\N","F"
"Colleen Iversen","GreaterEuropean","WestEuropean","Nordic","F"
"Colleen Lee","GreaterEuropean","British","\N","F"
"Colleen M. Kehoe","Asian","GreaterEastAsian","Japanese","F"
"Colleen M. Swanson","GreaterEuropean","British","\N","F"
"Colleen McCue","GreaterEuropean","British","\N","F"
"Colleen Page","GreaterEuropean","British","\N","F"
"Colleen Pettit Jones","GreaterEuropean","British","\N","F"
"Colleen Richey","GreaterEuropean","British","\N","F"
"Colleen Shannon","GreaterEuropean","British","\N","F"
"Concettina Del Grosso","GreaterEuropean","WestEuropean","Italian","F"
"Concha Bielza","GreaterEuropean","WestEuropean","Germanic","F"
"Cong Chen","Asian","GreaterEastAsian","EastAsian","F"
"Cong Ding","Asian","GreaterEastAsian","EastAsian","F"
"Cong Duy Vu Hoang","GreaterEuropean","British","\N","F"
"Cong Guo","Asian","GreaterEastAsian","EastAsian","F"
"Cong Han Lim","Asian","GreaterEastAsian","EastAsian","F"
"Cong Leng","GreaterEuropean","British","\N","F"
"Cong Li","Asian","GreaterEastAsian","EastAsian","F"
"Cong Liu","Asian","GreaterEastAsian","EastAsian","F"
"Cong Ma","Asian","GreaterEastAsian","EastAsian","F"
"Cong Men","GreaterEuropean","British","\N","F"
"Cong Peng","Asian","GreaterEastAsian","EastAsian","F"
"Cong Phuoc Huynh","GreaterEuropean","British","\N","F"
"Cong Shi","Asian","GreaterEastAsian","EastAsian","F"
"Cong Tang","Asian","GreaterEastAsian","EastAsian","F"
"Cong Tian","Asian","GreaterEastAsian","EastAsian","F"
"Cong Wang","Asian","GreaterEastAsian","EastAsian","F"
"Cong Xie","Asian","GreaterEastAsian","EastAsian","F"
"Cong Yao","Asian","GreaterEastAsian","EastAsian","F"
"Cong Yu","Asian","GreaterEastAsian","EastAsian","F"
"Cong Zhang","Asian","GreaterEastAsian","EastAsian","F"
"Cong Zhao","Asian","GreaterEastAsian","EastAsian","F"
"Cong Zheng","Asian","GreaterEastAsian","EastAsian","F"
"Congcong Li","Asian","GreaterEastAsian","EastAsian","F"
"Congcong Miao","Asian","GreaterEastAsian","EastAsian","F"
"Conghui Zhu","Asian","GreaterEastAsian","EastAsian","F"
"Congrui Chen","Asian","GreaterEastAsian","EastAsian","F"
"Connelly Barnes","GreaterEuropean","British","\N","F"
"Connie Douglass-Olberg","GreaterEuropean","British","\N","F"
"Connie Golsteijn","GreaterEuropean","Jewish","\N","F"
"Connie Liu","Asian","GreaterEastAsian","EastAsian","F"
"Conny Bakker","GreaterEuropean","WestEuropean","Germanic","F"
"Conny Franke","GreaterEuropean","WestEuropean","Germanic","F"
"Conny Junghans","Asian","IndianSubContinent","\N","F"
"Conny Kühne","GreaterEuropean","WestEuropean","Germanic","F"
"Conny Mccormack","GreaterEuropean","WestEuropean","Germanic","F"
"Constance Fleuriot","GreaterEuropean","WestEuropean","French","F"
"Constance H. C. Drossaert","GreaterEuropean","British","\N","F"
"Constance L. Heitmeyer","GreaterEuropean","British","\N","F"
"Constanze Deiters","GreaterEuropean","WestEuropean","Germanic","F"
"Constanze Vorwerg","GreaterEuropean","WestEuropean","Germanic","F"
"Consuelo Lopez","GreaterEuropean","WestEuropean","Hispanic","F"
"Consuelo Valdes","GreaterEuropean","WestEuropean","Hispanic","F"
"Coral Calero","GreaterEuropean","WestEuropean","Hispanic","F"
"Cordelia Schmid","GreaterEuropean","WestEuropean","Germanic","F"
"Cordelia V. Hall","GreaterEuropean","British","\N","F"
"Coreena P. Chen","Asian","GreaterEastAsian","EastAsian","F"
"Corin A. Gurr","GreaterEuropean","British","\N","F"
"Corin Pitcher","GreaterEuropean","WestEuropean","French","F"
"Corin R. Anderson","GreaterEuropean","British","\N","F"
"Corina Cîrstea","GreaterEuropean","British","\N","F"
"Corina E. Patrascu","GreaterEuropean","British","\N","F"
"Corina Graif","GreaterEuropean","British","\N","F"
"Corina S. Pasareanu","GreaterEuropean","WestEuropean","Italian","F"
"Corina Sas","Asian","GreaterEastAsian","Japanese","F"
"Corina Yen","Asian","GreaterEastAsian","EastAsian","F"
"Corinna Baldauf","GreaterEuropean","WestEuropean","French","F"
"Corinna Blasse","GreaterEuropean","WestEuropean","Germanic","F"
"Corinna Breitinger","GreaterEuropean","WestEuropean","Germanic","F"
"Corinna Cortes","GreaterEuropean","WestEuropean","Hispanic","F"
